"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","958","test_click_order_opens_modal","tests","2026-09-18","passed","2026-09-18","TestOrderFeed","test_order_feed","",""
"","702","test_navigate_to_order_history","tests","2026-09-18","passed","2026-09-18","TestPersonalAccount","test_personal_account","",""
"","103","test_navigate_to_personal_account","tests","2026-09-18","passed","2026-09-18","TestPersonalAccount","test_personal_account","",""
"","1202","test_logout","tests","2026-09-18","passed","2026-09-18","TestPersonalAccount","test_personal_account","",""
"","854","test_enter_email_and_click_restore","tests","2026-09-18","passed","2026-09-18","TestPasswordRecovery","test_password_recovery","",""
"","272","test_navigate_to_feed","tests","2026-09-18","passed","2026-09-18","TestMainFunctionality","test_main_functionality","",""
"","4387","test_new_order_increases_total_count","tests","2026-09-18","passed","2026-09-18","TestOrderFeed","test_order_feed","",""
"","1435","test_new_order_appears_in_progress_list","tests","2026-09-18","passed","2026-09-18","TestOrderFeed","test_order_feed","",""
"","298","test_navigate_to_password_recovery_page","tests","2026-09-18","passed","2026-09-18","TestPasswordRecovery","test_password_recovery","",""
"","106","test_logged_in_user_can_place_order","tests","2026-09-18","passed","2026-09-18","TestMainFunctionality","test_main_functionality","",""
"","376","test_adding_ingredient_increases_counter","tests","2026-09-18","passed","2026-09-18","TestMainFunctionality","test_main_functionality","",""
"","1711","test_order_history_matches_feed","tests","2026-09-18","passed","2026-09-18","TestOrderFeed","test_order_feed","",""
"","1516","test_ingredient_modal_opens_and_closes","tests","2026-09-18","passed","2026-09-18","TestMainFunctionality","test_main_functionality","",""
"","262","test_navigate_to_constructor","tests","2026-09-18","passed","2026-09-18","TestMainFunctionality","test_main_functionality","",""
"","4218","test_new_order_increases_today_count","tests","2026-09-18","passed","2026-09-18","TestOrderFeed","test_order_feed","",""
"","893","test_show_password_icon_activates_field","tests","2026-09-18","passed","2026-09-18","TestPasswordRecovery","test_password_recovery","",""
